Zip Code,Price,Beds,Baths,Living Space,Zip Code Population,Zip Code Density,Median Household Income,Latitude,Longitude,State_Arizona,State_California,State_Colorado,State_District of Columbia,State_Florida,State_Georgia,State_Illinois,State_Indiana,State_Kansas,State_Kentucky,State_Louisiana,State_Maryland,State_Michigan,State_Minnesota,State_Missouri,State_Nebraska,State_Nevada,State_New Mexico,State_North Carolina,State_Ohio,State_Oklahoma,State_Tennessee,State_Texas,State_Virginia,State_Wisconsin
20001,589000.0,2,2,980,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,859999.0,2,2,1310,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,499500.0,1,1,761,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,429000.0,2,1,767,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,600000.0,2,2,867,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,1079000.0,2,3,1537,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,469999.0,1,1,754,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,670000.0,2,2,922,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,549000.0,1,1,750,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,1895000.0,4,4,2300,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,849900.0,1,2,1103,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,650000.0,2,2,914,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,895000.0,3,3,1698,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,539900.0,2,2,921,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,624900.0,2,2,900,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,900000.0,3,3,2053,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,524900.0,2,2,765,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,409000.0,2,1,700,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,812000.0,4,4,2030,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,565000.0,2,1,786,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,780000.0,3,4,2030,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,1374999.0,4,4,2150,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,948000.0,3,3,1440,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,780000.0,3,4,2030,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,929000.0,3,2,1912,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,865000.0,2,2,1536,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,700000.0,3,3,1224,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,899900.0,3,4,1650,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,599000.0,2,2,1279,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,995000.0,5,2,2150,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,812000.0,4,4,2030,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,750000.0,4,2,2084,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,849000.0,4,3,1260,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,1049974.0,4,3,1614,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,1398500.0,4,4,2063,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,979000.0,4,3,1881,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,1075000.0,3,4,1710,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,869500.0,3,2,1342,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,949974.0,3,3,1570,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,449972.0,2,2,732,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,914900.0,4,4,1997,68201,5126.3,147338.0,38.90511,-76.98431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
